('rat', 'ti'): 45
('wtspc', 'su'): 2200
('su', 're'): 538
('wtspc', 'kar'): 1309
('kar', 'ma'): 129
('ma', 'sa'): 61
('da', 'gil'): 25
('gil', 'di'): 48
('di', 'lar'): 147
('lar', 'endsntnc'): 705
('se', 'fa'): 8
('fa', 'let'): 3
('let', 'wtspc'): 402
('wtspc', 'yu'): 959
('yu', 'zen'): 18
('zen', 'wtspc'): 110
('ma', 'sik'): 70
('i', 'ce'): 482
('ri', 'sin'): 321
('sin', 'de'): 1362
('nem', 'siz'): 6
('siz', 'wtspc'): 586
('li', 'der'): 55
('der', 'ler'): 36
('wtspc', 'it'): 71
('it', 'ti'): 25
('ti', 'fak'): 21
('fak', 'lar'): 5
('ku', 'ra'): 159
('ra', 'rak'): 82
('wtspc', 'guc'): 272
('guc', 'len'): 23
('dir', 'me'): 113
('me', 'ye'): 475
('ca', 'lis'): 795
('lis', 'ti'): 338
('wtspc', 'kom'): 105
('kom', 'su'): 63
('su', 'la'): 92
('wtspc', 'turk'): 831
('turk', 'wtspc'): 711
('wtspc', 'ke'): 1177
('ke', 'r'): 6
('r', 'ait'): 7
('ait', 'ler'): 2
('i', 'di'): 89
('bgnsntnc', 'ke'): 39
('wtspc', 'yil'): 1523
('yil', 'dan'): 58
('be', 'ri'): 183
('wtspc', 'nas'): 6
('nas', 'tu'): 4
('tu', 'ri'): 8
('hi', 'ris'): 19
('ris', 'ti'): 153
('ti', 'yan'): 79
('yan', 'di'): 28
('bgnsntnc', 'hi'): 25
('ait', 'le'): 4
('za', 'man'): 831
('man', 'ki'): 9
('wtspc', 'tug'): 38
('tug', 'rul'): 26
('rul', 'wtspc'): 40
('bgnsntnc', 'tug'): 7
('wtspc', 'ic'): 237
('ic', 'wtspc'): 142
('me', 'se'): 97
('se', 'le'): 101
('le', 'ler'): 73
('nu', 'cu'): 257
('cu', 'wtspc'): 783
('tah', 'ti'): 15
('bet', 'mis'): 24
